id_diagnotisco;codigo;descripcion;id_tipo_origen;aplica_sexo
73;A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;A
74;A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;A
75;A165;PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA;4;A
76;A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA;4;A
77;A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION;4;A
78;A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;A
79;A170;MENINGITIS TUBERCULOSA (G01*);4;A
80;A171;TUBERCULOMA MENINGEO (G07*);4;A
81;A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO;4;A
82;A179;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*);4;A
83;A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES;4;A
84;A181;TUBERCULOSIS DEL APARATO GENITOURINARIO;4;A
85;A182;LINFADENOPATIA PERIFERICA TUBERCULOSA;4;A
86;A183;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS;4;A
87;A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO;4;A
88;A185;TUBERCULOSIS DEL OJO;4;A
89;A186;TUBERCULOSIS DEL OIDO;4;A
90;A187;TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*);4;A
91;A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS;4;A
92;A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO;4;A
93;A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES;4;A
94;A192;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA;4;A
95;A198;OTRAS TUBERCULOSIS MILIARES;4;A
96;A199;TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION;4;A
97;A200;PESTE BUBONICA;4;A
98;A201;PESTE CELULOCUTANEA;4;A
