id;id_tarifario;codigo_compuesto;codigo_simple
277;1;410400;410200
278;1;410400;410300
279;1;490700;495100
280;1;490700;495200
281;1;490700;495300
282;1;494601;495100
283;1;494601;495200
284;1;494601;495300
285;1;494601;494602
286;1;494601;C40410
287;1;C40410;494602
288;1;555600;70000
289;1;M18713;571101
290;1;577150;405500
291;1;577150;599110
292;1;688101;688200
293;1;688101;688300
294;1;612100;609100
295;1;612100;619100
296;1;612100;629100
297;1;612100;639100
298;1;631301;609100
299;1;631301;619100
300;1;631301;629100
301;1;631301;639100
302;1;623001;623000
303;1;625101;625202
304;1;625101;625210
305;1;625101;625220
306;1;625202;625101
307;1;625202;625210
308;1;625202;625220
309;1;625210;625220
310;1;625210;625202
311;1;625210;625101
312;1;625220;625210
313;1;625220;625202
314;1;625220;625101
315;1;640000;644920
316;1;644910;644100
317;1;852200;852100
318;1;686100;405401
319;1;735300;735910
320;1;735300;735930
321;1;735300;735931
322;1;735300;721001
323;1;735300;721002
324;1;735300;732201
325;1;735910;735930
326;1;735910;735931
327;1;735910;721001
328;1;735910;721002
329;1;735910;732201
330;1;735910;735300
331;1;735930;735910
332;1;735930;735931
333;1;735930;721001
334;1;735930;721002
335;1;735930;732201
336;1;735930;735300
337;1;735931;735910
338;1;735931;721001
339;1;735931;721002
340;1;735931;732201
341;1;735931;735300
342;1;735931;735930
343;1;721001;735910
344;1;721001;735931
345;1;721001;721002
346;1;721001;732201
347;1;721001;735300
348;1;721001;735930
349;1;721002;735910
350;1;721002;735931
351;1;721002;721001
352;1;721002;732201
353;1;721002;735300
354;1;721002;735930
355;1;732201;735910
356;1;732201;735931
357;1;732201;721001
358;1;732201;721002
359;1;732201;735300
360;1;732201;735930
361;1;44311;839101
362;1;44311;829121
363;1;44311;829125
364;1;44311;829115
365;1;44311;829111
366;1;44503;44504
367;1;43105;43106
368;1;42304;42303
369;1;42304;42305
370;1;53201;53201
371;1;53203;53203
372;1;53205;53205
373;1;53202;53202
374;1;53204;53204
375;1;53206;53206
376;1;54203;54203
377;1;54102;53201
378;1;828304;828302
379;1;866101;865101
380;1;866101;865102
381;1;866102;865101
382;1;866102;865102
383;1;866103;865101
384;1;866103;865102
385;1;866104;865101
386;1;866104;865102
387;1;866201;865101
388;1;866201;865102
389;1;866202;865101
390;1;866202;865102
391;1;866203;865101
392;1;866203;865102
393;1;866204;865101
394;1;866204;865102
395;1;866120;865101
396;1;866120;865102
397;1;866220;865101
398;1;866220;865102
399;1;866121;865101
400;1;866121;865102
401;1;866221;865101
402;1;866221;865102
403;1;866300;865101
404;1;866300;865102
405;1;866401;865101
406;1;866401;865102
407;1;867105;386100
408;1;867105;386200
409;1;867105;72301
410;1;867105;182500
411;1;867105;777902
412;1;867105;777700
413;1;867105;40730
414;1;867105;777103
415;1;867105;15501
416;1;867105;M16342
417;1;867105;393306
418;1;867105;638200
419;1;867106;386100
420;1;867106;386200
421;1;867106;72301
422;1;867106;182500
423;1;867106;777902
424;1;867106;777700
425;1;867106;40730
426;1;867106;777103
427;1;867106;15501
428;1;867106;M16342
429;1;867106;393306
430;1;867106;638200
431;1;274203;867201
432;1;274203;867202
433;1;274203;867203
434;1;858701;861410
435;1;276101;276200
436;1;274301;241102
437;1;274302;241102
438;1;274303;241102
439;1;274304;241102
440;1;764305;764302
441;1;764305;764303
442;1;764305;764304
443;1;764402;764302
444;1;764402;764303
445;1;764402;764304
446;1;764304;764302
447;1;764304;764303
448;1;764303;764302
449;1;764302;764303
450;1;765105;765202
451;1;765301;765302
452;1;765302;765301
453;1;237902;40705
454;1;342000;342401
455;1;340101;342401
456;1;340101;342000
457;1;342401;342000
458;1;342401;340101
459;1;168404;218802
460;1;168404;218701
461;1;168404;218702
462;1;213102;218802
463;1;213102;218701
464;1;213102;218702
465;1;213103;218802
466;1;213103;218701
467;1;213103;218702
468;1;215102;218802
469;1;215102;218701
470;1;215102;218702
471;1;218902;218802
472;1;218902;218701
473;1;218902;218702
474;1;222102;218802
475;1;222102;218701
476;1;222102;218702
477;1;223903;218802
478;1;223903;218701
479;1;223903;218702
480;1;224102;218802
481;1;224102;218701
482;1;224102;218702
483;1;226001;218802
484;1;226001;218701
485;1;226001;218702
486;1;226201;218802
487;1;226201;218701
488;1;226201;218702
489;1;226304;218802
490;1;226304;218701
491;1;226304;218702
492;1;226305;218802
493;1;226305;218701
494;1;226305;218702
495;1;226401;218802
496;1;226401;218701
497;1;226401;218702
498;1;451600;441500
499;1;451600;441400
500;1;451600;422500
501;1;451600;451301
502;1;451600;422300
503;1;451600;422400
504;1;518500;511000
505;1;516400;511000
506;1;518801;511000
507;1;521400;511000
508;1;529400;511000
509;1;512300;511000
510;1;511500;511000
511;1;518600;511000
512;1;529700;511000
513;1;518700;511000
514;1;519500;511000
515;1;529300;511000
516;1;518400;511000
517;1;529800;511000
518;1;512200;511000
519;1;522100;511000
520;1;582100;586101
521;1;582100;586102
522;1;582100;586200
523;1;582100;586300
524;1;582100;609500
525;1;C40501;602902
526;1;C40501;602901
527;1;669120;652902
528;1;669120;667610
529;1;669120;652102
530;1;669120;652302
531;1;669120;652802
532;1;669120;666220
533;1;669120;652702
534;1;669120;652402
535;1;669120;659120
536;1;669120;691902
537;1;669220;652902
538;1;669220;667610
539;1;669220;652102
540;1;669220;652302
541;1;669220;652802
542;1;669220;666220
543;1;669220;652702
544;1;669220;652402
545;1;669220;659120
546;1;669220;691902
547;1;667902;652902
548;1;667902;667610
549;1;667902;652102
550;1;667902;652302
551;1;667902;652802
552;1;667902;666220
553;1;667902;652702
554;1;667902;652402
555;1;667902;659120
556;1;667902;691902
557;1;667902;669220
558;1;667902;669120
559;1;684020;663100
560;1;684020;669901
561;1;684020;669902
562;1;907004;907009
563;1;907004;907008
564;1;903826;903827
565;1;903827;903826
566;1;902210;902204
567;1;902210;902205
568;1;E19829;911016
569;1;E19829;902212
570;1;E19829;911018
571;1;E19829;911020
572;1;911022;911016
573;1;911022;902212
574;1;911022;911018
575;1;911022;911020
576;1;901235;901236
577;1;901235;901237
578;1;901236;901235
579;1;901236;901237
580;1;901237;901236
581;1;901237;901235
582;1;898001;892901
583;1;877802;877815
584;1;877802;877814
585;1;876140;876110
586;1;876140;878111
587;1;876190;876110
588;1;876190;878111
589;1;878101;876110
590;1;878101;878111
591;1;878201;872201
592;1;878201;877110
593;1;878201;877111
594;1;878201;872202
595;1;878201;878211
596;1;395060;395060
597;1;395080;395080
598;1;395030;395030
599;1;395021;395021
600;1;395061;395061
601;1;395012;395012
602;1;395013;395013
603;1;395014;395014
604;1;M21437;882295
605;1;874601;M21452
606;1;874602;M21452
607;1;550401;961601
608;1;550301;961601
609;1;870601;870602
610;1;380110;395015
611;1;380110;395016
612;1;380210;395016
613;1;380210;395015
614;1;385120;382301
615;1;385220;382301
616;1;395010;395015
617;1;395010;395016
618;1;881340;881305
619;1;881410;881401
620;1;881410;881432
621;1;892001;892400
622;1;892001;892301
623;1;892001;892302
624;1;892001;892800
625;1;892001;906814
626;1;586200;586300
627;1;586200;609500
628;1;586300;586200
629;1;586300;609500
630;1;609500;586300
631;1;609500;586200
632;1;893802;903839
633;1;893702;893701
634;1;893701;893702
635;1;895201;895101
636;1;C40820;389103
637;1;876131;876212
638;1;372300;876212
639;1;876121;876212
640;1;372101;876212
641;1;372301;876212
642;1;C40555;876212
643;1;C40820;876212
644;1;C40705;876212
645;1;C40556;876212
646;1;C40820;372200
647;1;372300;372400
648;1;876121;875100
649;1;876122;875100
650;1;363200;876120
651;1;C40550;876120
652;1;360101;372200
653;1;360101;876121
654;1;360101;876122
655;1;360101;377800
656;1;350100;876131
657;1;350100;372300
658;1;350100;876121
659;1;350100;372101
660;1;350100;372400
661;1;876131;350100
662;1;372300;350100
663;1;876121;350100
664;1;372301;350100
665;1;372401;350100
666;1;358303;877122
667;1;358303;876110
668;1;358303;872201
669;1;358303;877110
670;1;358303;877111
671;1;874125;358303
672;1;874134;358303
673;1;878111;358303
674;1;872202;358303
675;1;878211;358303
676;1;355102;895903
677;1;354200;372300
678;1;354200;876121
679;1;354200;372101
680;1;876131;354200
681;1;372301;354200
682;1;358710;874125
683;1;358710;874134
684;1;358710;877121
685;1;358710;877122
686;1;358710;876110
687;1;358710;872201
688;1;358710;877110
689;1;358710;877111
690;1;358710;872202
691;1;358710;878211
692;1;377401;378200
693;1;895910;895400
694;1;881236;895801
695;1;370100;895801
696;1;389103;895801
697;1;876212;895801
698;1;372200;895801
699;1;372300;895801
700;1;372400;895801
701;1;876121;895801
702;1;876122;895801
703;1;876120;895801
704;1;360101;895801
705;1;360201;895801
706;1;360102;895801
707;1;360500;895801
708;1;360600;895801
709;1;350100;895801
710;1;350300;895801
711;1;350200;895801
712;1;350400;895801
713;1;360401;895801
714;1;895903;895801
715;1;358303;895801
716;1;355102;895801
717;1;354200;895801
718;1;358710;895801
719;1;372501;895801
720;1;372101;895801
721;1;372301;895801
722;1;372401;895801
723;1;895001;895801
724;1;996101;895801
725;1;377800;895801
726;1;378200;895801
727;1;378300;895801
728;1;378900;895801
729;1;379900;895801
730;1;378500;895801
731;1;379500;895801
732;1;373401;895801
733;1;373402;895801
734;1;894103;895801
735;1;895910;895801
736;1;895300;895801
737;1;891703;893812
738;1;954301;954107
739;1;930820;930801
740;1;911202;902212
741;1;911202;902211
742;1;911202;906916
743;1;911202;902203
744;1;911202;906223
745;1;911202;906220
746;1;911202;906225
747;1;911202;906249
748;1;911202;906132
749;1;911202;906131
750;1;911201;902212
751;1;911201;902211
752;1;911201;906916
753;1;911201;902203
754;1;911201;906223
755;1;911201;906220
756;1;911201;906225
757;1;911201;906249
758;1;911201;906132
759;1;911201;906131
760;1;393201;397205
761;1;893902;893200
762;1;933600;895001
763;1;752100;881434
764;1;S11101;893812
765;1;S11102;893812
766;1;S11103;893812
767;1;S11104;893812
768;1;S11201;893812
769;1;S11202;893812
770;1;S11203;893812
771;1;S11204;893812
772;1;S11301;893812
773;1;S11302;893812
774;1;S11303;893812
775;1;S11304;893812
776;1;S12710;893812
777;1;S12711;893812
778;1;S12712;893812
779;1;S12713;893812
780;1;S12720;893812
781;1;S12721;893812
782;1;S12722;893812
783;1;S12723;893812
784;1;S12740;893812
785;1;S12741;893812
786;1;S12742;893812
787;1;S12743;893812
788;1;S12750;893812
789;1;S12751;893812
790;1;S12752;893812
791;1;S12753;893812
792;1;S12500;893812
793;1;S12600;893812
794;1;S12101;893812
795;1;S12102;893812
796;1;S12103;893812
797;1;S12201;893812
798;1;S12202;893812
799;1;S12203;893812
800;1;S12301;893812
801;1;S12302;893812
802;1;S12400;893812
803;1;S12401;893812
804;1;S12402;893812
805;1;S12710;938300
806;1;S12711;938300
807;1;S12712;938300
808;1;S12713;938300
809;1;S12720;938300
810;1;S12721;938300
811;1;S12722;938300
812;1;S12723;938300
813;1;S12740;938300
814;1;S12741;938300
815;1;S12742;938300
816;1;S12743;938300
817;1;S12750;938300
818;1;S12751;938300
819;1;S12752;938300
820;1;S12753;938300
821;1;S12710;944201
822;1;S12711;944201
823;1;S12712;944201
824;1;S12713;944201
825;1;S12720;944201
826;1;S12721;944201
827;1;S12722;944201
828;1;S12723;944201
829;1;S12740;944201
830;1;S12741;944201
831;1;S12742;944201
832;1;S12743;944201
833;1;S12750;944201
834;1;S12751;944201
835;1;S12752;944201
836;1;S12753;944201
837;1;S12710;944202
838;1;S12711;944202
839;1;S12712;944202
840;1;S12713;944202
841;1;S12720;944202
842;1;S12721;944202
843;1;S12722;944202
844;1;S12723;944202
845;1;S12740;944202
846;1;S12741;944202
847;1;S12742;944202
848;1;S12743;944202
849;1;S12750;944202
850;1;S12751;944202
851;1;S12752;944202
852;1;S12753;944202
853;1;S12101;890602
854;1;S12101;890402
855;1;S12101;890404
856;1;S12101;895101
857;1;S12101;895201
858;1;S12101;891401
859;1;S12101;891402
860;1;S12101;891410
861;1;S12101;903839
862;1;S12101;895400
863;1;S12101;893808
864;1;S12101;893805
865;1;S12101;893700
866;1;S12101;893806
867;1;S12101;893810
868;1;S12101;893814
869;1;S12101;893820
870;1;S12101;893821
871;1;S12101;893815
872;1;S12101;893817
873;1;S12101;893811
874;1;S12101;896600
875;1;S12101;893809
876;1;S12101;893813
877;1;S12101;893807
878;1;S12101;M24124
879;1;S12101;893801
880;1;S12101;893802
881;1;S12101;893812
882;1;S12101;893804
883;1;S12101;893822
884;1;S12101;893702
885;1;S12101;M24116
886;1;S12101;893701
887;1;S12101;E24119
888;1;S12101;961601
889;1;S12102;890602
890;1;S12102;890402
891;1;S12102;890404
892;1;S12102;895101
893;1;S12102;895201
894;1;S12102;891401
895;1;S12102;891402
896;1;S12102;891410
897;1;S12102;903839
898;1;S12102;895400
899;1;S12102;893808
900;1;S12102;893805
901;1;S12102;893700
902;1;S12102;893806
903;1;S12102;893810
904;1;S12102;893814
905;1;S12102;893820
906;1;S12102;893821
907;1;S12102;893815
908;1;S12102;893817
909;1;S12102;893811
910;1;S12102;896600
911;1;S12102;893809
912;1;S12102;893813
913;1;S12102;893807
914;1;S12102;M24124
915;1;S12102;893801
916;1;S12102;893802
917;1;S12102;893812
918;1;S12102;893804
919;1;S12102;893822
920;1;S12102;893702
921;1;S12102;M24116
922;1;S12102;893701
923;1;S12102;E24119
924;1;S12102;961601
925;1;S12103;890602
926;1;S12103;890402
927;1;S12103;890404
928;1;S12103;895101
929;1;S12103;895201
930;1;S12103;891401
931;1;S12103;891402
932;1;S12103;891410
933;1;S12103;903839
934;1;S12103;895400
935;1;S12103;893808
936;1;S12103;893805
937;1;S12103;893700
938;1;S12103;893806
939;1;S12103;893810
940;1;S12103;893814
941;1;S12103;893820
942;1;S12103;893821
943;1;S12103;893815
944;1;S12103;893817
945;1;S12103;893811
946;1;S12103;896600
947;1;S12103;893809
948;1;S12103;893813
949;1;S12103;893807
950;1;S12103;M24124
951;1;S12103;893801
952;1;S12103;893802
953;1;S12103;893812
954;1;S12103;893804
955;1;S12103;893822
956;1;S12103;893702
957;1;S12103;M24116
958;1;S12103;893701
959;1;S12103;E24119
960;1;S12103;961601
961;1;C40476;890810
962;1;C40477;890810
963;1;C40489;890810
964;1;C40485;890810
965;1;542500;890810
966;1;C40425;890810
967;1;C40416;890810
968;1;C40410;890810
969;1;631301;890810
970;1;735910;890810
971;1;274301;890810
972;1;274302;890810
973;1;274303;890810
974;1;342000;890810
975;1;340101;890810
976;1;342401;890810
977;1;451600;890810
978;1;582100;890810
979;1;C40501;890810
980;1;907004;890810
981;1;903826;890810
982;1;903827;890810
983;1;902210;890810
984;1;E19829;890810
985;1;911022;890810
986;1;901235;890810
987;1;901236;890810
988;1;901237;890810
989;1;898001;890810
990;1;877802;890810
991;1;380110;890810
992;1;380210;890810
993;1;385120;890810
994;1;385220;890810
995;1;395010;890810
996;1;881340;890810
997;1;881410;890810
998;1;876140;890810
999;1;876190;890810
1000;1;878101;890810
1001;1;878201;890810
1002;1;395060;890810
1003;1;395080;890810
1004;1;395030;890810
1005;1;395021;890810
1006;1;395061;890810
1007;1;395031;890810
1008;1;395081;890810
1009;1;395012;890810
1010;1;395013;890810
1011;1;395014;890810
1012;1;M21437;890810
1013;1;874601;890810
1014;1;874602;890810
1015;1;550401;890810
1016;1;550301;890810
