PK_CODIGO_MAPIISS;DESCRIPCION_MAPIISS;UVR;VR_CIRUJANO;VR_ANESTESIOLOGO;VR_AYUDANTE;VR_SALA;VR_MATERIALES;VR_NETO;TIPO_EVENTO;FK_ID_CENTRO_COSTOS;FK_ID_TARIFARIO;APLICA_SEXO;DESCRIP_EVENTO;AUT_AMB;AUT_HOSP;CANT_MAXIMA;FK_NIVEL_ATENCION;FK_TIPO_RIPS
13181;AMPUTACION DEL BRAZO;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13182;DESARTICULACION DEL HOMBRO;12;421600;245700;115100;675900;337600;1795900;POS;4;5;Ambos;Cirugia:;SI;SI;1;3;AP
13190;REIMPLANTE DE MIEMBRO SUPERIOR A NIVEL DEL BRAZO;22;830600;576000;226600;823500;0;2456700;POS;4;5;Ambos;Cirugia:;SI;SI;1;3;AP
13200;"DRENAJE; CURETAJE; SECUESTRECTOMIA; DE CUBITO O RADIO";8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13211;EXTRACCION NO QUIRURGICA DE MATERIAL DE OSTEOSINTESIS EN ANTEBRAZO;3;76700;54300;0;128200;49000;308200;POS;2;5;Ambos;Cirugia:;SI;NO;1;1;AP
13212;EXTRACCION QUIRURGICA DE MATERIAL DE OSTEOSINTESIS EN ANTEBRAZO;5;125900;82300;0;224400;91700;524300;POS;2;5;Ambos;Cirugia:;SI;NO;1;1;AP
13220;OSTEOTOMIA DE CUBITO O RADIO;9;274100;156800;75000;453200;213100;1172200;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13221;HEMIDIAFISECTOMIA EN CUBITO O RADIO;9;274100;156800;75000;453200;213100;1172200;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13230;RESECCION OLECRANON;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13231;RESECCION CABEZAS DE RADIO;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13232;RESECCION EXTREMO DISTAL CUBITO;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13233;RESECCION TERCIO DISTAL CUBITO CON ARTRODESIS RADIO CUBITAL DISTAL;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13240;INJERTO OSEO EN CUBITO O RADIO;10;337400;193700;91900;603100;337600;1563700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13241;EPIFISIODESIS CUBITO Y RADIO;9;274100;156800;75000;453200;213100;1172200;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13242;REVISION Y/O RECONSTRUCCION DE MUÑON DE AMPUTACION ANTEBRAZO;6;165000;97900;43200;325000;91700;722800;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13243;RESECCION TUMOR BENIGNO CUBITO O RADIO;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13244;RESECCION TUMOR MALIGNO CUBITO O RADIO;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13250;REDUCCION CERRADA FRACTURA CODO;6;165000;97900;43200;325000;91700;722800;POS;4;5;Ambos;Cirugia:;SI;SI;2;2;AP
13251;REDUCCION CERRADA FRACTURA CUBITO O RADIO;6;165000;97900;43200;325000;91700;722800;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13252;REDUCCION CERRADA FRACTURA DE COLLES;6;165000;97900;43200;325000;91700;722800;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13260;REDUCCION ABIERTA FRACTURA CODO;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;2;2;AP
13261;REDUCCION ABIERTA FRACTURA CUBITO Y RADIO;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13262;REDUCCION ABIERTA DE LUXACION RADIOCUBITAL DISTAL;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13270;OSTEOSINTESIS EN CODO;11;378400;216500;103700;643300;337600;1679500;POS;4;5;Ambos;Cirugia:;SI;SI;2;3;AP
13271;OSTEOSINTESIS EN CUBITO O RADIO;9;274100;156800;75000;453200;213100;1172200;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13272;OSTEOSINTESIS EN CUBITO Y RADIO;10;337400;193700;91900;603100;337600;1563700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13273;TRATAMIENTO FRACTURA DE COLLES;9;274100;156800;75000;453200;213100;1172200;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13280;AMPUTACION DEL ANTEBRAZO;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13281;DESARTICULACION DEL CODO;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;2;2;AP
13282;DESARTICULACION DE LA MUÑECA;8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13290;REIMPLANTE DE MIEMBRO SUPERIOR A NIVEL DEL ANTEBRAZO;22;830600;576000;226600;823500;0;2456700;POS;4;5;Ambos;Cirugia:;SI;SI;1;3;AP
13300;"DRENAJE; CURETAJE; SECUESTRECTOMIA; DE PELVIS";8;224200;132500;58900;397600;213100;1026300;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
13310;EXTRACCION CUERPO EXTRAÑO DE PELVIS;7;193300;113800;50900;362600;213100;933700;POS;4;5;Ambos;Cirugia:;SI;SI;1;2;AP
