ID;FK_TARIFARIO;COD_ARTICULO;PARAGRAFO;FK_CODIGO_CUPS;DESCRIPCION;TIPO_PARAGRAFO
73;1;1;aplica 1;15408;Procedimiento No aplica para la Edad o Sexo.;edad
74;1;1;aplica 1;15409;Procedimiento No aplica para la Edad o Sexo.;edad
75;1;1;aplica 1;15501;Procedimiento No aplica para la Edad o Sexo.;edad
76;1;1;aplica 1;16101;Procedimiento No aplica para la Edad o Sexo.;edad
77;1;1;aplica 1;16102;Procedimiento No aplica para la Edad o Sexo.;edad
78;1;1;aplica 1;16201;Procedimiento No aplica para la Edad o Sexo.;edad
79;1;1;aplica 1;16301;Procedimiento No aplica para la Edad o Sexo.;edad
80;1;1;aplica 1;16401;Procedimiento No aplica para la Edad o Sexo.;edad
81;1;1;aplica 1;17001;Procedimiento No aplica para la Edad o Sexo.;edad
82;1;1;aplica 1;17002;Procedimiento No aplica para la Edad o Sexo.;edad
83;1;1;aplica 1;17004;Procedimiento No aplica para la Edad o Sexo.;edad
84;1;1;aplica 1;17005;Procedimiento No aplica para la Edad o Sexo.;edad
85;1;1;aplica 1;17201;Procedimiento No aplica para la Edad o Sexo.;edad
86;1;1;aplica 1;17202;Procedimiento No aplica para la Edad o Sexo.;edad
87;1;1;aplica 1;17204;Procedimiento No aplica para la Edad o Sexo.;edad
88;1;1;aplica 1;17209;Procedimiento No aplica para la Edad o Sexo.;edad
89;1;1;aplica 1;17301;Procedimiento No aplica para la Edad o Sexo.;edad
90;1;1;aplica 1;17303;Procedimiento No aplica para la Edad o Sexo.;edad
91;1;1;aplica 1;17401;Procedimiento No aplica para la Edad o Sexo.;edad
92;1;1;aplica 1;17501;Procedimiento No aplica para la Edad o Sexo.;edad
93;1;1;aplica 1;17504;Procedimiento No aplica para la Edad o Sexo.;edad
94;1;1;aplica 1;17505;Procedimiento No aplica para la Edad o Sexo.;edad
95;1;1;aplica 1;17508;Procedimiento No aplica para la Edad o Sexo.;edad
96;1;1;aplica 1;17509;Procedimiento No aplica para la Edad o Sexo.;edad
97;1;1;aplica 1;17601;Procedimiento No aplica para la Edad o Sexo.;edad
98;1;1;aplica 1;17701;Procedimiento No aplica para la Edad o Sexo.;edad
99;1;1;aplica 1;17801;Procedimiento No aplica para la Edad o Sexo.;edad
100;1;1;aplica 1;17805;Procedimiento No aplica para la Edad o Sexo.;edad
101;1;1;aplica 1;18101;Procedimiento No aplica para la Edad o Sexo.;edad
102;1;1;aplica 1;18201;Procedimiento No aplica para la Edad o Sexo.;edad
103;1;1;aplica 1;19100;Procedimiento No aplica para la Edad o Sexo.;edad
104;1;1;aplica 1;19200;Procedimiento No aplica para la Edad o Sexo.;edad
105;1;1;aplica 1;20101;Procedimiento No aplica para la Edad o Sexo.;edad
106;1;1;aplica 1;20102;Procedimiento No aplica para la Edad o Sexo.;edad
107;1;1;aplica 1;20103;Procedimiento No aplica para la Edad o Sexo.;edad
108;1;1;aplica 1;20104;Procedimiento No aplica para la Edad o Sexo.;edad
109;1;1;aplica 1;20105;Procedimiento No aplica para la Edad o Sexo.;edad
110;1;1;aplica 1;20106;Procedimiento No aplica para la Edad o Sexo.;edad
111;1;1;aplica 1;20107;Procedimiento No aplica para la Edad o Sexo.;edad
112;1;1;aplica 1;20108;Procedimiento No aplica para la Edad o Sexo.;edad
113;1;1;aplica 1;20201;Procedimiento No aplica para la Edad o Sexo.;edad
114;1;1;aplica 1;20202;Procedimiento No aplica para la Edad o Sexo.;edad
115;1;1;aplica 1;20203;Procedimiento No aplica para la Edad o Sexo.;edad
116;1;1;aplica 1;20204;Procedimiento No aplica para la Edad o Sexo.;edad
117;1;1;aplica 1;20401;Procedimiento No aplica para la Edad o Sexo.;edad
118;1;1;aplica 1;20500;Procedimiento No aplica para la Edad o Sexo.;edad
119;1;1;aplica 1;20601;Procedimiento No aplica para la Edad o Sexo.;edad
120;1;1;aplica 1;21101;Procedimiento No aplica para la Edad o Sexo.;edad
121;1;1;aplica 1;21102;Procedimiento No aplica para la Edad o Sexo.;edad
122;1;1;aplica 1;21103;Procedimiento No aplica para la Edad o Sexo.;edad
123;1;1;aplica 1;21104;Procedimiento No aplica para la Edad o Sexo.;edad
124;1;1;aplica 1;21201;Procedimiento No aplica para la Edad o Sexo.;edad
125;1;1;aplica 1;21202;Procedimiento No aplica para la Edad o Sexo.;edad
126;1;1;aplica 1;21203;Procedimiento No aplica para la Edad o Sexo.;edad
127;1;1;aplica 1;21204;Procedimiento No aplica para la Edad o Sexo.;edad
128;1;1;aplica 1;21205;Procedimiento No aplica para la Edad o Sexo.;edad
129;1;1;aplica 1;21206;Procedimiento No aplica para la Edad o Sexo.;edad
130;1;1;aplica 1;21207;Procedimiento No aplica para la Edad o Sexo.;edad
131;1;1;aplica 1;21208;Procedimiento No aplica para la Edad o Sexo.;edad
132;1;1;aplica 1;21209;Procedimiento No aplica para la Edad o Sexo.;edad
133;1;1;aplica 1;21210;Procedimiento No aplica para la Edad o Sexo.;edad
134;1;1;aplica 1;21211;Procedimiento No aplica para la Edad o Sexo.;edad
135;1;1;aplica 1;21212;Procedimiento No aplica para la Edad o Sexo.;edad
136;1;1;aplica 1;21213;Procedimiento No aplica para la Edad o Sexo.;edad
137;1;1;aplica 1;21214;Procedimiento No aplica para la Edad o Sexo.;edad
138;1;1;aplica 1;22101;Procedimiento No aplica para la Edad o Sexo.;edad
139;1;1;aplica 1;22201;Procedimiento No aplica para la Edad o Sexo.;edad
140;1;1;aplica 1;22202;Procedimiento No aplica para la Edad o Sexo.;edad
141;1;1;aplica 1;22300;Procedimiento No aplica para la Edad o Sexo.;edad
142;1;1;aplica 1;23201;Procedimiento No aplica para la Edad o Sexo.;edad
143;1;1;aplica 1;23401;Procedimiento No aplica para la Edad o Sexo.;edad
144;1;1;aplica 1;23402;Procedimiento No aplica para la Edad o Sexo.;edad
145;1;1;aplica 1;23500;Procedimiento No aplica para la Edad o Sexo.;edad
146;1;1;aplica 1;24100;Procedimiento No aplica para la Edad o Sexo.;edad
147;1;1;aplica 1;24201;Procedimiento No aplica para la Edad o Sexo.;edad
148;1;1;aplica 1;24202;Procedimiento No aplica para la Edad o Sexo.;edad
149;1;1;aplica 1;24300;Procedimiento No aplica para la Edad o Sexo.;edad
150;1;1;aplica 1;25000;Procedimiento No aplica para la Edad o Sexo.;edad
151;1;1;aplica 1;28201;Procedimiento No aplica para la Edad o Sexo.;edad
152;1;1;aplica 1;28202;Procedimiento No aplica para la Edad o Sexo.;edad
153;1;1;aplica 1;28203;Procedimiento No aplica para la Edad o Sexo.;edad
154;1;1;aplica 1;28301;Procedimiento No aplica para la Edad o Sexo.;edad
155;1;1;aplica 1;28302;Procedimiento No aplica para la Edad o Sexo.;edad
156;1;1;aplica 1;28303;Procedimiento No aplica para la Edad o Sexo.;edad
157;1;1;aplica 1;28304;Procedimiento No aplica para la Edad o Sexo.;edad
158;1;1;aplica 1;28400;Procedimiento No aplica para la Edad o Sexo.;edad
159;1;1;aplica 1;28500;Procedimiento No aplica para la Edad o Sexo.;edad
160;1;1;aplica 1;28601;Procedimiento No aplica para la Edad o Sexo.;edad
161;1;1;aplica 1;30101;Procedimiento No aplica para la Edad o Sexo.;edad
162;1;1;aplica 1;30102;Procedimiento No aplica para la Edad o Sexo.;edad
163;1;1;aplica 1;30103;Procedimiento No aplica para la Edad o Sexo.;edad
164;1;1;aplica 1;30201;Procedimiento No aplica para la Edad o Sexo.;edad
165;1;1;aplica 1;30202;Procedimiento No aplica para la Edad o Sexo.;edad
166;1;1;aplica 1;30203;Procedimiento No aplica para la Edad o Sexo.;edad
167;1;1;aplica 1;30207;Procedimiento No aplica para la Edad o Sexo.;edad
168;1;1;aplica 1;30401;Procedimiento No aplica para la Edad o Sexo.;edad
169;1;1;aplica 1;30402;Procedimiento No aplica para la Edad o Sexo.;edad
170;1;1;aplica 1;32100;Procedimiento No aplica para la Edad o Sexo.;edad
171;1;1;aplica 1;32200;Procedimiento No aplica para la Edad o Sexo.;edad
172;1;1;aplica 1;32301;Procedimiento No aplica para la Edad o Sexo.;edad
173;1;1;aplica 1;32400;Procedimiento No aplica para la Edad o Sexo.;edad
174;1;1;aplica 1;33100;Procedimiento No aplica para la Edad o Sexo.;edad
175;1;1;aplica 1;33200;Procedimiento No aplica para la Edad o Sexo.;edad
176;1;1;aplica 1;33201;Procedimiento No aplica para la Edad o Sexo.;edad
177;1;1;aplica 1;34201;Procedimiento No aplica para la Edad o Sexo.;edad
178;1;1;aplica 1;34202;Procedimiento No aplica para la Edad o Sexo.;edad
179;1;1;aplica 1;34203;Procedimiento No aplica para la Edad o Sexo.;edad
180;1;1;aplica 1;34204;Procedimiento No aplica para la Edad o Sexo.;edad
181;1;1;aplica 1;34205;Procedimiento No aplica para la Edad o Sexo.;edad
182;1;1;aplica 1;34206;Procedimiento No aplica para la Edad o Sexo.;edad
183;1;1;aplica 1;34301;Procedimiento No aplica para la Edad o Sexo.;edad
184;1;1;aplica 1;34302;Procedimiento No aplica para la Edad o Sexo.;edad
185;1;1;aplica 1;34303;Procedimiento No aplica para la Edad o Sexo.;edad
186;1;1;aplica 1;34304;Procedimiento No aplica para la Edad o Sexo.;edad
187;1;1;aplica 1;34305;Procedimiento No aplica para la Edad o Sexo.;edad
188;1;1;aplica 1;34401;Procedimiento No aplica para la Edad o Sexo.;edad
189;1;1;aplica 1;34402;Procedimiento No aplica para la Edad o Sexo.;edad
190;1;1;aplica 1;35101;Procedimiento No aplica para la Edad o Sexo.;edad
191;1;1;aplica 1;35102;Procedimiento No aplica para la Edad o Sexo.;edad
192;1;1;aplica 1;35103;Procedimiento No aplica para la Edad o Sexo.;edad
193;1;1;aplica 1;35104;Procedimiento No aplica para la Edad o Sexo.;edad
194;1;1;aplica 1;35105;Procedimiento No aplica para la Edad o Sexo.;edad
195;1;1;aplica 1;35106;Procedimiento No aplica para la Edad o Sexo.;edad
196;1;1;aplica 1;35107;Procedimiento No aplica para la Edad o Sexo.;edad
197;1;1;aplica 1;35108;Procedimiento No aplica para la Edad o Sexo.;edad
198;1;1;aplica 1;35201;Procedimiento No aplica para la Edad o Sexo.;edad
199;1;1;aplica 1;35202;Procedimiento No aplica para la Edad o Sexo.;edad
200;1;1;aplica 1;35401;Procedimiento No aplica para la Edad o Sexo.;edad
201;1;1;aplica 1;35402;Procedimiento No aplica para la Edad o Sexo.;edad
202;1;1;aplica 1;36100;Procedimiento No aplica para la Edad o Sexo.;edad
203;1;1;aplica 1;37100;Procedimiento No aplica para la Edad o Sexo.;edad
204;1;1;aplica 1;37200;Procedimiento No aplica para la Edad o Sexo.;edad
205;1;1;aplica 1;37300;Procedimiento No aplica para la Edad o Sexo.;edad
206;1;1;aplica 1;37400;Procedimiento No aplica para la Edad o Sexo.;edad
207;1;1;aplica 1;37500;Procedimiento No aplica para la Edad o Sexo.;edad
208;1;1;aplica 1;38100;Procedimiento No aplica para la Edad o Sexo.;edad
209;1;1;aplica 1;38200;Procedimiento No aplica para la Edad o Sexo.;edad
210;1;1;aplica 1;39001;Procedimiento No aplica para la Edad o Sexo.;edad
211;1;1;aplica 1;39002;Procedimiento No aplica para la Edad o Sexo.;edad
212;1;1;aplica 1;39003;Procedimiento No aplica para la Edad o Sexo.;edad
213;1;1;aplica 1;39004;Procedimiento No aplica para la Edad o Sexo.;edad
214;1;1;aplica 1;39100;Procedimiento No aplica para la Edad o Sexo.;edad
215;1;1;aplica 1;39301;Procedimiento No aplica para la Edad o Sexo.;edad
216;1;1;aplica 1;39302;Procedimiento No aplica para la Edad o Sexo.;edad
217;1;1;aplica 1;39400;Procedimiento No aplica para la Edad o Sexo.;edad
218;1;1;aplica 1;39500;Procedimiento No aplica para la Edad o Sexo.;edad
219;1;1;aplica 1;39700;Procedimiento No aplica para la Edad o Sexo.;edad
220;1;1;aplica 1;39800;Procedimiento No aplica para la Edad o Sexo.;edad
