id;id_tarifario;codigo_cups;tipo_paragrafo
314;1;53206;edad
315;1;53207;edad
316;1;53301;edad
317;1;53303;edad
318;1;54101;edad
319;1;54102;edad
320;1;54103;edad
321;1;54201;edad
322;1;54202;edad
323;1;54203;edad
324;1;55100;edad
325;1;55101;edad
326;1;55200;edad
327;1;60100;edad
328;1;60200;edad
329;1;60901;edad
330;1;60902;edad
331;1;60903;edad
332;1;60904;edad
333;1;61100;edad
334;1;61200;edad
335;1;61300;edad
336;1;62200;edad
337;1;63100;edad
338;1;63901;edad
339;1;63902;edad
340;1;63903;edad
341;1;64100;edad
342;1;65100;edad
343;1;65200;edad
344;1;66100;edad
345;1;67000;edad
346;1;67100;edad
347;1;67200;edad
348;1;68100;edad
349;1;68900;edad
350;1;69100;edad
351;1;70000;edad
352;1;71100;edad
353;1;71200;edad
354;1;71300;edad
355;1;71400;edad
356;1;71600;edad
357;1;71700;edad
358;1;72100;edad
359;1;72200;edad
360;1;72300;edad
361;1;72301;edad
362;1;74100;edad
363;1;75300;edad
364;1;75400;edad
365;1;76100;edad
366;1;76200;edad
367;1;76400;edad
368;1;76500;edad
369;1;78100;edad
370;1;78200;edad
371;1;80100;edad
372;1;81100;edad
373;1;82000;edad
374;1;82100;edad
375;1;82301;edad
376;1;82302;edad
377;1;82401;edad
378;1;82501;edad
379;1;82600;edad
380;1;83100;edad
381;1;83200;edad
382;1;83300;edad
383;1;83400;edad
384;1;84100;edad
385;1;84200;edad
386;1;84300;edad
387;1;84400;edad
388;1;85100;edad
389;1;85200;edad
390;1;85300;edad
391;1;86101;edad
392;1;86102;edad
393;1;86200;edad
394;1;86300;edad
395;1;86400;edad
396;1;87100;edad
397;1;87300;edad
398;1;87401;edad
399;1;88100;edad
400;1;88201;edad
401;1;88202;edad
402;1;88401;edad
403;1;88402;edad
404;1;88403;edad
405;1;89101;edad
406;1;90100;edad
407;1;91100;edad
408;1;91200;edad
409;1;92100;edad
410;1;92200;edad
411;1;94100;edad
412;1;94200;edad
413;1;94400;edad
414;1;95300;edad
415;1;96100;edad
416;1;97100;edad
417;1;97200;edad
418;1;97300;edad
419;1;98101;edad
420;1;98201;edad
421;1;98301;edad
422;1;99100;edad
423;1;100100;edad
424;1;102100;edad
425;1;103101;edad
426;1;103102;edad
427;1;103103;edad
428;1;103104;edad
429;1;103105;edad
430;1;103106;edad
431;1;103107;edad
432;1;103108;edad
433;1;103201;edad
434;1;103202;edad
435;1;104100;edad
436;1;104400;edad
437;1;105100;edad
438;1;106100;edad
439;1;107100;edad
440;1;110000;edad
441;1;111100;edad
442;1;111200;edad
443;1;112100;edad
444;1;112200;edad
445;1;114100;edad
446;1;114200;edad
447;1;115100;edad
448;1;115101;edad
449;1;115200;edad
450;1;115301;edad
451;1;115302;edad
452;1;115800;edad
453;1;116100;edad
454;1;116200;edad
455;1;116300;edad
456;1;116400;edad
457;1;117300;edad
458;1;117400;edad
459;1;117500;edad
460;1;117600;edad
461;1;118100;edad
462;1;120000;edad
463;1;121200;edad
464;1;121301;edad
465;1;121400;edad
466;1;122200;edad
467;1;122300;edad
468;1;122400;edad
469;1;123001;edad
470;1;123002;edad
471;1;123400;edad
472;1;123500;edad
473;1;123701;edad
474;1;124101;edad
475;1;124201;edad
476;1;124301;edad
477;1;124401;edad
478;1;125100;edad
479;1;125400;edad
480;1;125500;edad
481;1;126400;edad
482;1;126401;edad
483;1;126601;edad
484;1;126603;edad
485;1;126700;edad
486;1;126705;edad
487;1;127501;edad
488;1;128100;edad
489;1;128401;edad
490;1;128402;edad
491;1;128403;edad
492;1;128800;edad
493;1;131100;edad
494;1;132200;edad
495;1;132300;edad
496;1;132400;edad
497;1;136501;edad
498;1;136502;edad
499;1;137100;edad
500;1;137200;edad
501;1;138100;edad
502;1;140000;edad
503;1;142101;edad
504;1;142300;edad
505;1;143101;edad
506;1;143300;edad
507;1;144101;edad
508;1;144102;edad
509;1;144103;edad
510;1;145101;edad
511;1;145300;edad
512;1;146100;edad
513;1;147301;edad
514;1;147401;edad
515;1;147402;edad
516;1;150100;edad
517;1;152100;edad
518;1;152200;edad
519;1;154101;edad
520;1;154102;edad
521;1;154103;edad
522;1;161100;edad
523;1;162200;edad
524;1;162300;edad
525;1;163100;edad
526;1;164100;edad
527;1;164200;edad
528;1;165100;edad
529;1;165200;edad
530;1;166101;edad
531;1;168100;edad
532;1;168301;edad
533;1;168401;edad
534;1;168402;edad
535;1;168403;edad
536;1;168404;edad
537;1;168405;edad
538;1;169201;edad
539;1;169202;edad
540;1;169203;edad
541;1;169204;edad
542;1;180100;edad
543;1;180200;edad
544;1;180300;edad
545;1;181101;edad
546;1;181102;edad
547;1;182100;edad
548;1;182200;edad
549;1;182300;edad
550;1;182401;edad
551;1;182500;edad
552;1;183101;edad
553;1;183102;edad
554;1;183103;edad
555;1;183104;edad
556;1;184100;edad
557;1;185101;edad
558;1;186200;edad
559;1;187100;edad
560;1;187101;edad
561;1;187103;edad
562;1;187104;edad
563;1;187105;edad
564;1;187106;edad
565;1;187200;edad
566;1;191100;edad
567;1;192100;edad
568;1;194101;edad
569;1;194102;edad
570;1;199100;edad
571;1;200101;edad
572;1;202101;edad
573;1;202301;edad
574;1;202400;edad
575;1;204100;edad
576;1;204200;edad
577;1;205101;edad
578;1;205102;edad
579;1;205900;edad
580;1;207301;edad
581;1;207501;edad
582;1;209100;edad
583;1;209600;edad
584;1;209601;edad
585;1;209602;edad
586;1;210100;edad
587;1;210200;edad
588;1;210400;edad
589;1;210500;edad
590;1;210600;edad
591;1;210800;edad
592;1;210900;edad
593;1;211100;edad
594;1;211301;edad
595;1;212100;edad
596;1;212200;edad
597;1;213001;edad
598;1;213100;edad
599;1;213101;edad
600;1;213102;edad
601;1;213103;edad
602;1;213104;edad
603;1;213105;edad
604;1;213106;edad
605;1;213107;edad
606;1;213110;edad
607;1;213201;edad
608;1;215101;edad
609;1;215102;edad
610;1;215103;edad
611;1;216100;edad
612;1;217100;edad
613;1;217200;edad
614;1;218100;edad
615;1;218301;edad
616;1;218302;edad
617;1;218304;edad
618;1;218401;edad
619;1;218701;edad
620;1;218702;edad
621;1;218801;edad
622;1;218802;edad
623;1;218901;edad
624;1;218902;edad
625;1;218903;edad
626;1;218904;edad
627;1;220100;edad
628;1;221100;edad
629;1;221401;edad
630;1;221402;edad
631;1;222101;edad
632;1;222102;edad
633;1;223100;edad
634;1;223901;edad
635;1;223902;edad
636;1;223903;edad
637;1;224102;edad
638;1;224103;edad
639;1;224104;edad
640;1;224105;edad
641;1;224106;edad
642;1;224107;edad
643;1;224201;edad
644;1;225300;edad
645;1;226001;edad
646;1;226100;edad
647;1;226201;edad
648;1;226202;edad
649;1;226301;edad
650;1;226302;edad
651;1;226303;edad
652;1;226304;edad
653;1;226305;edad
654;1;226308;edad
655;1;226400;edad
656;1;226401;edad
657;1;227101;edad
658;1;230101;edad
659;1;230102;edad
660;1;230201;edad
661;1;230202;edad
662;1;231100;edad
663;1;231200;edad
664;1;231300;edad
665;1;231301;edad
666;1;231302;edad
667;1;231400;edad
668;1;231500;edad
669;1;232101;edad
670;1;232102;edad
671;1;232103;edad
672;1;232300;edad
673;1;234101;edad
674;1;234102;edad
675;1;234103;edad
676;1;234104;edad
677;1;234202;edad
678;1;234203;edad
679;1;234204;edad
680;1;234401;edad
681;1;234402;edad
682;1;235100;edad
683;1;236100;edad
684;1;236200;edad
685;1;236300;edad
686;1;237101;edad
687;1;237200;edad
688;1;237301;edad
689;1;237302;edad
690;1;237303;edad
691;1;237304;edad
692;1;237305;edad
693;1;237401;edad
694;1;237902;edad
695;1;240300;edad
696;1;241101;edad
697;1;241102;edad
698;1;241103;edad
699;1;242102;edad
700;1;242202;edad
701;1;243101;edad
702;1;243102;edad
703;1;243103;edad
704;1;243104;edad
705;1;243105;edad
706;1;243106;edad
707;1;243107;edad
708;1;243108;edad
709;1;243109;edad
710;1;243201;edad
711;1;243202;edad
712;1;243301;edad
713;1;243302;edad
714;1;243400;edad
715;1;243500;edad
716;1;244101;edad
717;1;244102;edad
718;1;244103;edad
719;1;244104;edad
720;1;244105;edad
721;1;244106;edad
722;1;244107;edad
723;1;244108;edad
724;1;245100;edad
725;1;247100;edad
726;1;247401;edad
727;1;247402;edad
728;1;248200;edad
729;1;249100;edad
730;1;250100;edad
731;1;250201;edad
732;1;250202;edad
733;1;250203;edad
734;1;251000;edad
735;1;251100;edad
736;1;252000;edad
737;1;252501;edad
738;1;252502;edad
739;1;253000;edad
740;1;254000;edad
741;1;255100;edad
742;1;255901;edad
743;1;255902;edad
744;1;255903;edad
745;1;256100;edad
746;1;256301;edad
747;1;260100;edad
748;1;260200;edad
749;1;260300;edad
750;1;261100;edad
751;1;261200;edad
752;1;261201;edad
753;1;262101;edad
754;1;262901;edad
755;1;263100;edad
756;1;263101;edad
757;1;263201;edad
758;1;263202;edad
759;1;263203;edad
760;1;263204;edad
761;1;263205;edad
762;1;264200;edad
763;1;264201;edad
764;1;264901;edad
765;1;264902;edad
766;1;269100;edad
767;1;269301;edad
768;1;270101;edad
769;1;270102;edad
770;1;271100;edad
771;1;272101;edad
772;1;272102;edad
773;1;272103;edad
774;1;272301;edad
775;1;272302;edad
776;1;272400;edad
777;1;272401;edad
778;1;273101;edad
779;1;273102;edad
780;1;273201;edad
781;1;273202;edad
782;1;273203;edad
783;1;273204;edad
784;1;274100;edad
785;1;274201;edad
786;1;274202;edad
787;1;274203;edad
788;1;274301;edad
789;1;274302;edad
790;1;274303;edad
791;1;274304;edad
792;1;274400;edad
793;1;274901;edad
794;1;274902;edad
795;1;275101;edad
796;1;275102;edad
797;1;275201;edad
798;1;275202;edad
799;1;275301;edad
800;1;275302;edad
801;1;275303;edad
802;1;275304;edad
803;1;275401;edad
804;1;275402;edad
805;1;275403;edad
806;1;275404;edad
807;1;275500;edad
808;1;275601;edad
809;1;275701;edad
810;1;275801;edad
811;1;275900;edad
812;1;275901;edad
813;1;275902;edad
814;1;276101;edad
815;1;276200;edad
816;1;276201;edad
817;1;276204;edad
818;1;276205;edad
819;1;276206;edad
820;1;276207;edad
821;1;277201;edad
822;1;278301;edad
823;1;278400;edad
824;1;280100;edad
825;1;280200;edad
826;1;282100;edad
827;1;283100;edad
828;1;284100;edad
829;1;285101;edad
830;1;286100;edad
831;1;287100;edad
832;1;289100;edad
833;1;289101;edad
834;1;290200;edad
835;1;290301;edad
836;1;290400;edad
837;1;291100;edad
838;1;291200;edad
839;1;291201;edad
840;1;293200;edad
841;1;293301;edad
842;1;293302;edad
843;1;293303;edad
844;1;293401;edad
845;1;294100;edad
846;1;294200;edad
847;1;295101;edad
848;1;295201;edad
849;1;295202;edad
850;1;295301;edad
851;1;295400;edad
852;1;295500;edad
853;1;295601;edad
854;1;295602;edad
855;1;295603;edad
856;1;295604;edad
857;1;296100;edad
858;1;296200;edad
859;1;296301;edad
860;1;300100;edad
861;1;300101;edad
862;1;300103;edad
863;1;300201;edad
864;1;300202;edad
865;1;300401;edad
866;1;300402;edad
867;1;301101;edad
868;1;301102;edad
869;1;301103;edad
870;1;301200;edad
871;1;301400;edad
872;1;303101;edad
873;1;303200;edad
874;1;310101;edad
875;1;310102;edad
876;1;310103;edad
877;1;310104;edad
878;1;311100;edad
879;1;311200;edad
880;1;311300;edad
881;1;311400;edad
882;1;313101;edad
883;1;313102;edad
884;1;313201;edad
885;1;313202;edad
886;1;314201;edad
887;1;314203;edad
888;1;314204;edad
889;1;314300;edad
890;1;314400;edad
891;1;314501;edad
892;1;314502;edad
893;1;315000;edad
894;1;315101;edad
895;1;315102;edad
896;1;316201;edad
897;1;316401;edad
898;1;316402;edad
899;1;316403;edad
900;1;316501;edad
901;1;316502;edad
902;1;316503;edad
903;1;316700;edad
904;1;317100;edad
905;1;317202;edad
906;1;317300;edad
907;1;317301;edad
908;1;317400;edad
909;1;317501;edad
910;1;319100;edad
911;1;319201;edad
912;1;319300;edad
913;1;319401;edad
914;1;319402;edad
915;1;320001;edad
916;1;320201;edad
917;1;320202;edad
918;1;322100;edad
919;1;322200;edad
920;1;323100;edad
921;1;324200;edad
922;1;325100;edad
923;1;325200;edad
924;1;325300;edad
925;1;325400;edad
926;1;325500;edad
927;1;330101;edad
928;1;332001;edad
929;1;332100;edad
930;1;332201;edad
931;1;332205;edad
932;1;332301;edad
933;1;332400;edad
934;1;332500;edad
935;1;332601;edad
936;1;332700;edad
937;1;332701;edad
938;1;332801;edad
939;1;334100;edad
940;1;334201;edad
941;1;334202;edad
942;1;334301;edad
943;1;334302;edad
944;1;334400;edad
945;1;335100;edad
946;1;335200;edad
947;1;336100;edad
948;1;339400;edad
949;1;340101;edad
950;1;340200;edad
951;1;340300;edad
952;1;340400;edad
953;1;341101;edad
954;1;341102;edad
955;1;342000;edad
956;1;342100;edad
957;1;342200;edad
958;1;342300;edad
959;1;342401;edad
960;1;342402;edad
961;1;342403;edad
962;1;342501;edad
963;1;342600;edad
964;1;342700;edad
965;1;343201;edad
966;1;343202;edad
967;1;343300;edad
968;1;343301;edad
969;1;343302;edad
970;1;343303;edad
971;1;343401;edad
972;1;343402;edad
973;1;344101;edad
974;1;344300;edad
975;1;345100;edad
976;1;345300;edad
977;1;347000;edad
978;1;347001;edad
979;1;347005;edad
980;1;347200;edad
981;1;347300;edad
982;1;347400;edad
983;1;347500;edad
984;1;347600;edad
985;1;347801;edad
986;1;347802;edad
987;1;348201;edad
988;1;348202;edad
989;1;348301;edad
990;1;348302;edad
991;1;348303;edad
992;1;348500;edad
993;1;348600;edad
994;1;349201;edad
995;1;349400;edad
996;1;350100;edad
997;1;350200;edad
998;1;350300;edad
999;1;350400;edad
1000;1;351100;edad
1001;1;351200;edad
1002;1;351300;edad
1003;1;351400;edad
1004;1;352100;edad
1005;1;352200;edad
1006;1;352300;edad
1007;1;352400;edad
1008;1;352500;edad
1009;1;352600;edad
1010;1;352700;edad
1011;1;354200;edad
1012;1;355101;edad
1013;1;355102;edad
1014;1;355201;edad
1015;1;356100;edad
1016;1;356101;edad
1017;1;356201;edad
1018;1;356202;edad
1019;1;358001;edad
1020;1;358002;edad
1021;1;358101;edad
1022;1;358102;edad
1023;1;358103;edad
1024;1;358104;edad
1025;1;358105;edad
1026;1;358106;edad
1027;1;358201;edad
1028;1;358202;edad
1029;1;358203;edad
1030;1;358204;edad
1031;1;358205;edad
1032;1;358206;edad
1033;1;358207;edad
1034;1;358208;edad
1035;1;358209;edad
1036;1;358301;edad
1037;1;358303;edad
1038;1;358306;edad
1039;1;358307;edad
1040;1;358308;edad
1041;1;358401;edad
1042;1;358402;edad
1043;1;358403;edad
1044;1;358501;edad
1045;1;358502;edad
1046;1;358503;edad
1047;1;358504;edad
1048;1;358505;edad
1049;1;358506;edad
1050;1;358507;edad
1051;1;358508;edad
1052;1;358509;edad
1053;1;358510;edad
1054;1;358701;edad
1055;1;358702;edad
1056;1;358703;edad
1057;1;358710;edad
1058;1;358800;edad
1059;1;358801;edad
1060;1;358802;edad
1061;1;358803;edad
1062;1;359200;edad
1063;1;359300;edad
1064;1;359401;edad
1065;1;359402;edad
1066;1;359403;edad
1067;1;359404;edad
1068;1;359405;edad
1069;1;359501;edad
1070;1;359502;edad
1071;1;359700;edad
1072;1;360101;edad
1073;1;360102;edad
1074;1;360201;edad
1075;1;360300;edad
1076;1;360401;edad
1077;1;360500;edad
1078;1;360600;edad
1079;1;361100;edad
1080;1;361200;edad
1081;1;361300;edad
1082;1;361400;edad
1083;1;361501;edad
1084;1;361701;edad
1085;1;362100;edad
1086;1;362200;edad
1087;1;362300;edad
1088;1;363200;edad
1089;1;369200;edad
1090;1;370100;edad
1091;1;371200;edad
1092;1;372101;edad
1093;1;372200;edad
1094;1;372300;edad
1095;1;372301;edad
1096;1;372400;edad
1097;1;372401;edad
1098;1;372501;edad
1099;1;372600;edad
1100;1;372700;edad
1101;1;373100;edad
1102;1;373103;edad
1103;1;373200;edad
1104;1;373301;edad
1105;1;373302;edad
1106;1;373303;edad
1107;1;373401;edad
1108;1;373402;edad
1109;1;373600;edad
1110;1;373700;edad
1111;1;374100;edad
1112;1;374200;edad
1113;1;374300;edad
1114;1;375100;edad
1115;1;375200;edad
1116;1;376100;edad
1117;1;377401;edad
1118;1;377800;edad
1119;1;378200;edad
1120;1;378300;edad
1121;1;378500;edad
1122;1;378900;edad
1123;1;379401;edad
1124;1;379402;edad
1125;1;379500;edad
1126;1;379900;edad
1127;1;380101;edad
1128;1;380102;edad
1129;1;380103;edad
1130;1;380104;edad
1131;1;380110;edad
1132;1;380201;edad
1133;1;380202;edad
1134;1;380203;edad
1135;1;380204;edad
1136;1;380210;edad
1137;1;380301;edad
1138;1;380302;edad
1139;1;380303;edad
1140;1;380304;edad
1141;1;380305;edad
1142;1;380306;edad
1143;1;380500;edad
1144;1;380601;edad
1145;1;380602;edad
1146;1;380700;edad
1147;1;380701;edad
1148;1;380702;edad
1149;1;380801;edad
1150;1;380802;edad
1151;1;380810;edad
1152;1;380901;edad
1153;1;380902;edad
1154;1;380903;edad
1155;1;380910;edad
1156;1;381101;edad
1157;1;381201;edad
1158;1;381202;edad
1159;1;381203;edad
1160;1;381301;edad
1161;1;381302;edad
1162;1;381303;edad
1163;1;381400;edad
1164;1;381500;edad
1165;1;381501;edad
1166;1;381601;edad
1167;1;381602;edad
1168;1;381603;edad
1169;1;381801;edad
1170;1;381802;edad
1171;1;382101;edad
1172;1;382102;edad
1173;1;382301;edad
1174;1;383101;edad
1175;1;383102;edad
1176;1;383103;edad
1177;1;383104;edad
1178;1;383105;edad
1179;1;383201;edad
1180;1;383202;edad
1181;1;383203;edad
1182;1;383204;edad
1183;1;383205;edad
1184;1;383301;edad
1185;1;383302;edad
1186;1;383303;edad
1187;1;383401;edad
1188;1;383402;edad
1189;1;383403;edad
1190;1;383405;edad
1191;1;383501;edad
1192;1;383502;edad
1193;1;383503;edad
1194;1;383601;edad
1195;1;383701;edad
1196;1;383801;edad
1197;1;383802;edad
1198;1;383900;edad
1199;1;383901;edad
1200;1;383902;edad
1201;1;384201;edad
1202;1;384202;edad
1203;1;384301;edad
1204;1;384302;edad
1205;1;384303;edad
1206;1;384400;edad
1207;1;384500;edad
1208;1;384600;edad
1209;1;384700;edad
1210;1;384801;edad
1211;1;384802;edad
1212;1;384900;edad
1213;1;384901;edad
1214;1;385101;edad
1215;1;385102;edad
1216;1;385103;edad
1217;1;385104;edad
1218;1;385105;edad
1219;1;385110;edad
1220;1;385111;edad
1221;1;385120;edad
1222;1;385201;edad
1223;1;385202;edad
1224;1;385203;edad
1225;1;385204;edad
1226;1;385220;edad
1227;1;385301;edad
1228;1;385303;edad
1229;1;385320;edad
1230;1;385401;edad
1231;1;385500;edad
1232;1;385520;edad
1233;1;385601;edad
1234;1;385620;edad
1235;1;385701;edad
1236;1;385720;edad
1237;1;385801;edad
1238;1;385802;edad
1239;1;385820;edad
1240;1;385901;edad
1241;1;385902;edad
1242;1;385903;edad
1243;1;385920;edad
1244;1;386100;edad
1245;1;386200;edad
1246;1;386301;edad
1247;1;386402;edad
1248;1;387300;edad
1249;1;388700;edad
1250;1;388901;edad
1251;1;388902;edad
1252;1;388903;edad
1253;1;388904;edad
1254;1;389001;edad
1255;1;389002;edad
1256;1;389101;edad
1257;1;389102;edad
1258;1;389103;edad
1259;1;389400;edad
1260;1;389500;edad
1261;1;389900;edad
1262;1;390100;edad
1263;1;390200;edad
1264;1;391201;edad
1265;1;391202;edad
1266;1;391701;edad
1267;1;391702;edad
1268;1;391703;edad
1269;1;391704;edad
1270;1;392100;edad
1271;1;392201;edad
1272;1;392202;edad
1273;1;392203;edad
1274;1;392204;edad
1275;1;392400;edad
1276;1;392501;edad
1277;1;392502;edad
1278;1;392601;edad
1279;1;392602;edad
1280;1;392603;edad
1281;1;392604;edad
1282;1;392701;edad
1283;1;392702;edad
1284;1;392800;edad
1285;1;392802;edad
1286;1;392803;edad
1287;1;392804;edad
1288;1;393201;edad
1289;1;393202;edad
1290;1;393203;edad
1291;1;393204;edad
1292;1;393306;edad
1293;1;394100;edad
1294;1;395010;edad
1295;1;395012;edad
1296;1;395013;edad
1297;1;395014;edad
1298;1;395015;edad
1299;1;395016;edad
1300;1;395017;edad
1301;1;395021;edad
1302;1;395030;edad
1303;1;395031;edad
1304;1;395060;edad
1305;1;395061;edad
1306;1;395080;edad
1307;1;395081;edad
1308;1;395200;edad
1309;1;395301;edad
1310;1;395302;edad
1311;1;397201;edad
1312;1;397202;edad
1313;1;397203;edad
1314;1;397204;edad
1315;1;397205;edad
1316;1;397206;edad
1317;1;397301;edad
1318;1;397302;edad
1319;1;397303;edad
1320;1;397304;edad
1321;1;397305;edad
1322;1;397306;edad
1323;1;397400;edad
1324;1;397500;edad
1325;1;397601;edad
1326;1;397700;edad
1327;1;397801;edad
1328;1;397802;edad
1329;1;397901;edad
1330;1;397902;edad
1331;1;398001;edad
1332;1;398002;edad
1333;1;399200;edad
1334;1;399400;edad
1335;1;399501;edad
1336;1;399601;edad
1337;1;401101;edad
1338;1;401102;edad
1339;1;402100;edad
1340;1;402200;edad
1341;1;402300;edad
1342;1;402400;edad
1343;1;402500;edad
1344;1;402600;edad
1345;1;404100;edad
1346;1;404200;edad
1347;1;404301;edad
1348;1;404302;edad
1349;1;404400;edad
1350;1;405100;edad
1351;1;405300;edad
1352;1;405301;edad
1353;1;405302;edad
1354;1;405401;edad
1355;1;405402;edad
