id;id_tarifario;codigo_cups;codigo_diagnostico
1;1;778931;B213
2;1;778931;B217
3;1;778931;B218
4;1;778931;B219
5;1;778931;C000
6;1;778931;C001
7;1;778931;C002
8;1;778931;C003
9;1;778931;C004
10;1;778931;C005
11;1;778931;C006
12;1;778931;C009
13;1;778931;C01
14;1;778931;C020
15;1;778931;C021
16;1;778931;C022
17;1;778931;C023
18;1;778931;C024
19;1;778931;C029
20;1;778931;C030
21;1;778931;C031
22;1;778931;C039
23;1;778931;C040
24;1;778931;C041
25;1;778931;C049
26;1;778931;C050
27;1;778931;C051
28;1;778931;C052
29;1;778931;C059
30;1;778931;C060
31;1;778931;C061
32;1;778931;C062
33;1;778931;C069
34;1;778931;C07
35;1;778931;C080
36;1;778931;C081
37;1;778931;C089
38;1;778931;C090
39;1;778931;C091
40;1;778931;C099
41;1;778931;C100
42;1;778931;C101
43;1;778931;C102
44;1;778931;C103
45;1;778931;C104
46;1;778931;C109
47;1;778931;C110
48;1;778931;C111
49;1;778931;C112
50;1;778931;C113
51;1;778931;C119
52;1;778931;C12
53;1;778931;C130
54;1;778931;C131
55;1;778931;C132
56;1;778931;C139
57;1;778931;C140
58;1;778931;C142
59;1;778931;C150
60;1;778931;C151
61;1;778931;C152
62;1;778931;C153
63;1;778931;C154
64;1;778931;C155
65;1;778931;C159
66;1;778931;C160
67;1;778931;C161
68;1;778931;C162
69;1;778931;C163
70;1;778931;C164
71;1;778931;C165
72;1;778931;C166
73;1;778931;C169
74;1;778931;C170
75;1;778931;C171
76;1;778931;C172
77;1;778931;C173
78;1;778931;C178
79;1;778931;C179
80;1;778931;C180
81;1;778931;C181
82;1;778931;C182
83;1;778931;C183
84;1;778931;C184
85;1;778931;C185
86;1;778931;C186
87;1;778931;C187
88;1;778931;C189
89;1;778931;C19
90;1;778931;C20
91;1;778931;C210
92;1;778931;C211
93;1;778931;C212
94;1;778931;C229
95;1;778931;C23
96;1;778931;C240
97;1;778931;C241
98;1;778931;C249
99;1;778931;C250
100;1;778931;C251
101;1;778931;C252
102;1;778931;C253
103;1;778931;C254
104;1;778931;C257
105;1;778931;C259
106;1;778931;C260
107;1;778931;C261
108;1;778931;C269
109;1;778931;C300
110;1;778931;C301
111;1;778931;C310
112;1;778931;C311
113;1;778931;C312
114;1;778931;C313
115;1;778931;C319
116;1;778931;C320
117;1;778931;C321
118;1;778931;C322
119;1;778931;C323
120;1;778931;C329
121;1;778931;C33
122;1;778931;C340
123;1;778931;C341
124;1;778931;C342
125;1;778931;C343
126;1;778931;C349
127;1;778931;C37
128;1;778931;C380
129;1;778931;C381
130;1;778931;C382
131;1;778931;C383
132;1;778931;C384
133;1;778931;C390
134;1;778931;C399
135;1;778931;C400
136;1;778931;C401
137;1;778931;C402
138;1;778931;C403
139;1;778931;C409
140;1;778931;C410
141;1;778931;C411
142;1;778931;C412
143;1;778931;C413
144;1;778931;C414
145;1;778931;C419
146;1;778931;C440
147;1;778931;C441
148;1;778931;C442
149;1;778931;C443
150;1;778931;C444
151;1;778931;C445
152;1;778931;C446
153;1;778931;C447
154;1;778931;C449
155;1;778931;C470
156;1;778931;C471
157;1;778931;C472
158;1;778931;C473
159;1;778931;C474
160;1;778931;C475
161;1;778931;C476
162;1;778931;C479
163;1;778931;C480
164;1;778931;C481
165;1;778931;C482
166;1;778931;C490
167;1;778931;C491
168;1;778931;C492
169;1;778931;C493
170;1;778931;C494
171;1;778931;C495
172;1;778931;C496
173;1;778931;C499
174;1;778931;C500
175;1;778931;C501
176;1;778931;C502
177;1;778931;C503
178;1;778931;C504
179;1;778931;C505
180;1;778931;C506
181;1;778931;C509
182;1;778931;C510
183;1;778931;C511
184;1;778931;C512
185;1;778931;C519
186;1;778931;C52
187;1;778931;C530
188;1;778931;C531
189;1;778931;C539
190;1;778931;C540
191;1;778931;C541
192;1;778931;C542
193;1;778931;C543
194;1;778931;C549
195;1;778931;C55
196;1;778931;C56
197;1;778931;C570
198;1;778931;C571
199;1;778931;C572
200;1;778931;C573
201;1;778931;C574
202;1;778931;C577
203;1;778931;C579
204;1;778931;C58
205;1;778931;C600
206;1;778931;C601
207;1;778931;C602
208;1;778931;C609
209;1;778931;C61
210;1;778931;C620
211;1;778931;C621
212;1;778931;C629
213;1;778931;C630
214;1;778931;C631
215;1;778931;C632
216;1;778931;C637
217;1;778931;C639
218;1;778931;C64
219;1;778931;C65
220;1;778931;C66
221;1;778931;C670
222;1;778931;C671
223;1;778931;C672
224;1;778931;C673
225;1;778931;C674
226;1;778931;C675
227;1;778931;C676
228;1;778931;C677
229;1;778931;C679
230;1;778931;C680
231;1;778931;C681
232;1;778931;C689
233;1;778931;C690
234;1;778931;C691
235;1;778931;C692
236;1;778931;C693
237;1;778931;C694
238;1;778931;C695
239;1;778931;C696
240;1;778931;C699
241;1;778931;C700
242;1;778931;C701
243;1;778931;C709
244;1;778931;C710
245;1;778931;C711
246;1;778931;C712
247;1;778931;C713
248;1;778931;C714
249;1;778931;C715
250;1;778931;C716
251;1;778931;C717
252;1;778931;C719
253;1;778931;C720
254;1;778931;C721
255;1;778931;C722
256;1;778931;C723
257;1;778931;C724
258;1;778931;C725
259;1;778931;C729
260;1;778931;C73
261;1;778931;C740
262;1;778931;C741
263;1;778931;C749
264;1;778931;C750
265;1;778931;C751
266;1;778931;C752
267;1;778931;C753
268;1;778931;C754
269;1;778931;C755
270;1;778931;C758
271;1;778931;C759
272;1;778931;C760
273;1;778931;C761
274;1;778931;C762
275;1;778931;C763
276;1;778931;C764
277;1;778931;C765
278;1;778931;C767
279;1;778931;C770
280;1;778931;C771
281;1;778931;C772
282;1;778931;C773
283;1;778931;C774
284;1;778931;C775
285;1;778931;C778
286;1;778931;C779
287;1;778931;C780
288;1;778931;C781
289;1;778931;C782
290;1;778931;C783
291;1;778931;C784
292;1;778931;C785
293;1;778931;C786
294;1;778931;C787
295;1;778931;C788
296;1;778931;C790
297;1;778931;C791
298;1;778931;C792
299;1;778931;C793
300;1;778931;C794
301;1;778931;C795
302;1;778931;C796
303;1;778931;C797
304;1;778931;C798
305;1;778931;C80
306;1;778931;C837
307;1;778931;C962
308;1;778931;C967
309;1;778931;C969
310;1;778931;C97
311;1;778931;D100
312;1;778931;D101
313;1;778931;D102
314;1;778931;D103
315;1;778931;D104
316;1;778931;D105
317;1;778931;D106
318;1;778931;D107
319;1;778931;D109
320;1;778931;D110
321;1;778931;D117
322;1;778931;D119
323;1;778931;D120
324;1;778931;D121
325;1;778931;D122
326;1;778931;D123
327;1;778931;D124
328;1;778931;D125
329;1;778931;D126
330;1;778931;D127
