id;id_tarifario;codigo_cups;rango_desde;rango_hasta
1;1;10101;0;150
2;1;10102;0;150
3;1;10201;0;150
4;1;10202;0;150
5;1;10203;0;150
6;1;10901;0;150
7;1;11101;0;150
8;1;11201;0;150
9;1;11302;0;150
10;1;11303;0;150
11;1;11304;0;150
12;1;12100;0;150
13;1;12101;0;150
14;1;12401;0;150
15;1;12402;0;150
16;1;12410;0;150
17;1;12501;0;150
18;1;12502;0;150
19;1;12503;0;150
20;1;13101;0;150
21;1;13102;0;150
22;1;13103;0;150
23;1;13104;0;150
24;1;13105;0;150
25;1;13106;0;150
26;1;13110;0;150
27;1;13201;0;150
28;1;13202;0;150
29;1;14101;0;150
30;1;14201;0;150
31;1;15101;0;150
32;1;15102;0;150
33;1;15104;0;150
34;1;15201;0;150
35;1;15202;0;150
36;1;15203;0;150
37;1;15204;0;150
38;1;15301;0;150
39;1;15302;0;150
40;1;15304;0;150
41;1;15305;0;150
42;1;15306;0;150
43;1;15307;0;150
44;1;15308;0;150
45;1;15309;0;150
46;1;15310;0;150
47;1;15311;0;150
48;1;15401;0;150
49;1;15402;0;150
50;1;15403;0;150
51;1;15404;0;150
52;1;15405;0;150
53;1;15406;0;150
54;1;15407;0;150
55;1;15408;0;150
56;1;15409;0;150
57;1;15501;0;150
58;1;16101;0;150
59;1;16102;0;150
60;1;16201;0;150
61;1;16301;0;150
62;1;16401;0;150
63;1;17001;0;150
64;1;17002;0;150
65;1;17004;0;150
66;1;17005;0;150
67;1;17201;0;150
68;1;17202;0;150
69;1;17204;0;150
70;1;17209;0;150
71;1;17301;0;150
72;1;17303;0;150
73;1;17401;0;150
74;1;17501;0;150
75;1;17504;0;150
76;1;17505;0;150
77;1;17508;0;150
78;1;17509;0;150
79;1;17601;0;150
80;1;17701;0;150
81;1;17801;0;150
82;1;17805;0;150
83;1;18101;0;150
84;1;18201;0;150
85;1;19100;0;150
86;1;19200;0;150
87;1;20101;0;150
88;1;20102;0;150
89;1;20103;0;150
90;1;20104;0;150
91;1;20105;0;150
92;1;20106;0;150
93;1;20107;0;150
94;1;20108;0;150
95;1;20201;0;150
96;1;20202;0;150
97;1;20203;0;150
98;1;20204;0;150
99;1;20401;0;150
100;1;20500;0;150
101;1;20601;0;150
102;1;21101;0;150
103;1;21102;0;150
104;1;21103;0;150
105;1;21104;0;150
106;1;21201;0;150
107;1;21202;0;150
108;1;21203;0;150
109;1;21204;0;150
110;1;21205;0;150
111;1;21206;0;150
112;1;21207;0;150
113;1;21208;0;150
114;1;21209;0;150
115;1;21210;0;150
116;1;21211;0;150
117;1;21212;0;150
118;1;21213;0;150
119;1;21214;0;150
120;1;22101;0;150
121;1;22201;0;150
122;1;22202;0;150
123;1;22300;0;150
124;1;23201;0;150
125;1;23401;0;150
126;1;23402;0;150
127;1;23500;0;150
128;1;24100;0;150
129;1;24201;0;150
130;1;24202;0;150
131;1;24300;0;150
132;1;25000;0;150
133;1;28201;0;150
134;1;28202;0;150
135;1;28203;0;150
136;1;28301;0;150
137;1;28302;0;150
138;1;28303;0;150
139;1;28304;0;150
140;1;28400;0;150
141;1;28500;0;150
142;1;28601;0;150
143;1;30101;0;150
144;1;30102;0;150
145;1;30103;0;150
146;1;30201;0;150
147;1;30202;0;150
148;1;30203;0;150
149;1;30207;0;150
150;1;30401;0;150
151;1;30402;0;150
152;1;32100;0;150
153;1;32200;0;150
154;1;32301;0;150
155;1;32400;0;150
156;1;33100;0;150
157;1;33200;0;150
158;1;33201;0;150
159;1;34201;0;150
160;1;34202;0;150
161;1;34203;0;150
162;1;34204;0;150
163;1;34205;0;150
164;1;34206;0;150
165;1;34301;0;150
166;1;34302;0;150
167;1;34303;0;150
168;1;34304;0;150
169;1;34305;0;150
170;1;34401;0;150
171;1;34402;0;150
172;1;35101;0;150
173;1;35102;0;150
174;1;35103;0;150
175;1;35104;0;150
176;1;35105;0;150
177;1;35106;0;150
178;1;35107;0;150
179;1;35108;0;150
180;1;35201;0;150
181;1;35202;0;150
182;1;35401;0;150
183;1;35402;0;150
184;1;36100;0;150
185;1;37100;0;150
186;1;37200;0;150
187;1;37300;0;150
188;1;37400;0;150
189;1;37500;0;150
190;1;38100;0;150
191;1;38200;0;150
192;1;39001;0;150
193;1;39002;0;150
194;1;39003;0;150
195;1;39004;0;150
196;1;39100;0;150
197;1;39301;0;150
198;1;39302;0;150
199;1;39400;0;150
200;1;39500;0;150
201;1;39700;0;150
202;1;39800;0;150
203;1;40101;0;150
204;1;40102;0;150
205;1;40103;0;150
206;1;40104;0;150
207;1;40200;0;150
208;1;40301;0;150
209;1;40705;0;150
210;1;40706;0;150
211;1;40707;0;150
212;1;40708;0;150
213;1;40709;0;150
214;1;40710;0;150
215;1;40711;0;150
216;1;40712;0;150
217;1;40730;0;150
218;1;41101;0;150
219;1;41200;0;150
220;1;42101;0;150
221;1;42102;0;150
222;1;42201;0;150
223;1;42202;0;150
224;1;42301;0;150
225;1;42302;0;150
226;1;42303;0;150
227;1;42304;0;150
228;1;42305;0;150
229;1;42306;0;150
230;1;42307;0;150
